Data,PV,EV,AC,SPI,CPI
2025-09-18,6687.36,7755.26,3600,1.16,1.44
2025-09-25,8919.94,11750.4,5400.0,1.32,2.18
2025-10-02,11520,0,0,1,1
2025-10-09,14121.29,0,0,1,1
2025-10-16,16722.58,0,0,1,1
2025-10-23,19323.87,0,0,1,1
2025-10-30,22296.77,0,0,1,1
2025-11-06,24989.06,0,0,1,1
2025-11-13,27499.35,0,0,1,1
2025-11-20,30100.65,0,0,1,1
2025-11-27,32701.94,0,0,1,1

